EventTypeName,Cluster no,Message,Timestamp,Status,Processed_Message
SAM Monitor Down,3,"Component ""Microsoft Exchange Active Directory Topology"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Active Directory Topology application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Anti-spam Update"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Update application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Compliance Service"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Compliance Service application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange DAG Management"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange DAG Management application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Mailbox Transport Delivery"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Mailbox Transport Delivery application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Diagnostics"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Diagnostics application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange EdgeSync"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange EdgeSync application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Search"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Search application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Frontend Transport"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Frontend Transport application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Health Manager"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Health Manager application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Health Manager Recovery"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Health Manager Recovery application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Information Store"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Information Store application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Mailbox Assistants"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Mailbox Assistants application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Mailbox Replication"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Mailbox Replication application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Replication"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Replication application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange RPC Client Access"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange RPC Client Access application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
SAM Monitor Down,3,"Component ""Microsoft Exchange Service Host"" for application ""Microsoft Exchange Services - NOC"" on node ""ISNOCPREX02"" is in an unknown state",2025-02-18 00:15:31,down,Component Microsoft Exchange Service Host application Microsoft Exchange Services NOC node ISNOCPREX02 unknown state
