Timestamp,Message,Status
2025-02-04 23:58:51,Agent 192.168.112.57 became available,available
2025-02-04 23:58:44,Component DNS Server on Application NOC Infra Critical Active Directory Service Monitoring on Node ISNOCPRDC04 is Critical 10.255.12.12,
2025-02-04 23:58:43,Component Error and Warning Events: SMS Server on Application Microsoft System Center Configuration Manager Related Services on Node ISDBPRCCM01 is Down 172.20.110.61,down
2025-02-04 23:58:42,Sohar-Alreef - DIALUPTOHO Up 192.168.6.1,up
2025-02-04 23:58:14,Error polling cloud volume prdz1rpabot1-osdisk-20240719-154903: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
2025-02-04 23:58:14,Error polling cloud volume prdz1rpaapp1-osdisk-20240719-151928: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
2025-02-04 23:58:14,Error polling cloud volume PRD-Z1-KONGAPP02: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume azdevvm01_OsDisk_1_b565e5d8c8ef47919a0ac45fbc376821: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
2025-02-04 23:58:14,Error polling cloud volume DXBAZPRODAD01_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume DXBAZPRODAD01_OsDisk_1_a911ea73172e4cf9951e4f0c609daece: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown. Error polling cloud volume AUHAZDRAD01_OsDisk_1_d44514e20e97492c9185fdd195d2655e: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
2025-02-04 23:58:14,Error polling cloud volume AUHAZDRAD01_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
2025-02-04 23:58:14,Error polling cloud volume PROD-FTSPROAPP1_DataDisk_0: Error polling volumes for cloud account DEEM_AZURE: Volume status marked as unknown.,unknown
